iter	Passed	Remaining
922	17765	20729
923	17783	20708
924	17802	20689
925	17821	20669
926	17838	20648
927	17857	20628
928	17874	20607
929	17891	20585
930	17911	20566
931	17927	20543
932	17946	20524
933	17965	20504
934	17983	20483
935	18001	20463
936	18019	20442
937	18037	20421
938	18054	20400
939	18071	20378
940	18090	20358
941	18111	20341
942	18129	20320
943	18149	20302
944	18167	20282
945	18184	20260
946	18203	20240
947	18221	20220
948	18239	20200
949	18258	20179
950	18277	20161
951	18296	20141
952	18314	20121
953	18332	20100
954	18349	20078
955	18367	20057
956	18385	20037
957	18403	20016
958	18422	19997
959	18439	19975
960	18457	19955
961	18476	19936
962	18495	19916
963	18512	19894
964	18531	19875
965	18550	19856
966	18567	19835
967	18586	19814
968	18603	19794
969	18621	19773
970	18640	19753
971	18657	19732
972	18676	19712
973	18693	19691
974	18711	19671
975	18728	19649
976	18746	19628
977	18764	19609
978	18784	19590
979	18803	19570
980	18824	19553
981	19082	19782
982	19245	19911
983	19267	19894
984	19361	19951
985	19383	19934
986	19403	19914
987	19423	19895
988	19441	19873
989	19462	19855
990	19481	19835
991	19499	19814
992	19516	19792
993	19539	19774
994	19558	19755
995	19577	19735
996	19595	19713
997	19612	19690
998	19630	19669
999	19648	19648
1000	19665	19626
1001	19682	19604
1002	19699	19581
1003	19716	19558
1004	19734	19537
1005	19750	19515
1006	19767	19492
1007	19785	19471
1008	19804	19450
1009	19830	19437
1010	19855	19423
1011	19875	19404
1012	19894	19383
1013	19912	19362
1014	19929	19340
1015	19948	19320
1016	19966	19299
1017	19984	19277
1018	20001	19255
1019	20018	19233
1020	20035	19211
1021	20052	19189
1022	20069	19166
1023	20086	19145
1024	20103	19122
1025	20121	19101
1026	20138	19079
1027	20155	19057
1028	20172	19035
1029	20190	19014
1030	20208	18993
1031	20224	18970
1032	20242	18948
1033	20258	18926
1034	20276	18905
1035	20293	18882
1036	20309	18860
1037	20326	18838
1038	20344	18817
1039	20360	18794
1040	20378	18773
1041	20397	18752
1042	20414	18730
1043	20430	18708
1044	20449	18688
1045	20483	18682
1046	20540	18696
1047	20577	18692
1048	20596	18672
1049	20615	18652
1050	20634	18631
1051	20653	18611
1052	20670	18590
1053	20688	18568
1054	20706	18547
1055	20722	18524
1056	20739	18502
1057	20756	18480
1058	20774	18459
1059	20791	18437
1060	20809	18416
1061	20825	18394
1062	20843	18372
1063	20859	18350
1064	20876	18328
1065	20893	18306
1066	20909	18283
1067	20925	18261
1068	20943	18240
1069	20959	18217
1070	20976	18195
1071	20994	18174
1072	21012	18153
1073	21030	18132
1074	21048	18111
1075	21066	18090
1076	21085	18070
1077	21105	18051
1078	21124	18031
1079	21142	18010
1080	21161	17990
1081	21178	17968
1082	21197	17948
1083	21216	17928
1084	21237	17909
1085	21258	17891
1086	21277	17871
1087	21296	17851
1088	21316	17832
1089	21335	17812
1090	21353	17791
1091	21372	17770
1092	21389	17749
1093	21407	17728
1094	21425	17707
1095	21442	17686
1096	21461	17666
1097	21478	17644
1098	21495	17622
1099	21513	17602
1100	21531	17581
1101	21550	17561
1102	21568	17540
1103	21588	17521
1104	21606	17500
1105	21625	17480
1106	21644	17460
1107	21661	17438
1108	21680	17418
1109	21699	17399
1110	21719	17379
1111	21737	17358
1112	21755	17338
1113	21773	17317
1114	21791	17296
1115	21809	17275
1116	21827	17254
1117	21844	17233
1118	21861	17212
1119	21880	17191
1120	21898	17170
1121	21915	17149
1122	21933	17129
1123	21953	17109
1124	21969	17087
1125	21986	17066
1126	22004	17044
1127	22020	17022
1128	22038	17002
1129	22056	16981
1130	22073	16960
1131	22091	16939
1132	22110	16919
1133	22127	16898
1134	22145	16877
1135	22163	16857
1136	22181	16836
1137	22198	16814
1138	22216	16793
1139	22236	16774
1140	22253	16753
1141	22272	16734
1142	22291	16713
1143	22310	16693
1144	22327	16672
1145	22347	16653
1146	22364	16632
1147	22383	16611
1148	22399	16590
1149	22416	16569
1150	22435	16549
1151	22453	16528
1152	22474	16510
1153	22493	16489
1154	22511	16469
1155	22528	16448
1156	22546	16427
1157	22564	16407
1158	22581	16385
1159	22599	16365
1160	22616	16343
1161	22638	16326
1162	22659	16307
1163	22677	16287
1164	22695	16266
1165	22715	16247
1166	22732	16226
1167	22751	16206
1168	22769	16186
1169	22787	16165
1170	22805	16145
1171	22823	16124
1172	22841	16104
1173	22862	16085
1174	22880	16065
1175	22899	16045
1176	22917	16024
1177	22936	16005
1178	22954	15984
1179	22972	15964
1180	22990	15943
1181	23007	15922
1182	23027	15903
1183	23046	15883
1184	23064	15862
1185	23086	15845
1186	23105	15825
1187	23124	15805
1188	23144	15786
1189	23161	15765
1190	23180	15745
1191	23200	15726
1192	23221	15708
1193	23240	15688
1194	23257	15666
1195	23274	15645
1196	23291	15625
1197	23309	15604
1198	23327	15584
1199	23344	15562
1200	23360	15541
1201	23378	15520
1202	23396	15500
1203	23415	15480
1204	23433	15460
1205	23450	15439
1206	23469	15419
1207	23487	15399
1208	23505	15378
1209	23523	15358
1210	23542	15338
1211	23560	15318
1212	23580	15299
1213	23599	15279
1214	23618	15259
1215	23636	15239
1216	23654	15219
1217	23672	15198
1218	23690	15178
1219	23709	15158
1220	23726	15137
1221	23744	15117
1222	23762	15096
1223	23781	15076
1224	23798	15056
1225	23816	15035
1226	23834	15015
1227	23853	14995
1228	23870	14974
1229	23889	14955
1230	23908	14935
1231	23926	14915
1232	23945	14895
1233	23963	14875
1234	23982	14855
1235	23999	14834
1236	24017	14814
1237	24037	14795
1238	24054	14774
1239	24072	14754
1240	24090	14734
1241	24109	14714
1242	24128	14694
1243	24146	14674
1244	24164	14653
1245	24183	14634
1246	24201	14614
1247	24228	14599
1248	24254	14583
1249	24272	14563
1250	24290	14543
1251	24307	14522
1252	24326	14502
1253	24344	14482
1254	24362	14462
1255	24379	14441
1256	24397	14421
1257	24416	14401
1258	24434	14381
1259	24453	14361
1260	24472	14341
1261	24489	14321
1262	24507	14300
1263	24525	14280
1264	24549	14263
1265	24567	14243
1266	24585	14223
1267	24602	14202
1268	24619	14182
1269	24636	14160
1270	24653	14140
1271	24672	14120
1272	24687	14098
1273	24706	14078
1274	24723	14058
1275	24742	14038
1276	24760	14018
1277	24780	13999
1278	24797	13979
1279	24815	13958
1280	24833	13938
1281	24851	13918
1282	24871	13899
1283	24891	13880
1284	24909	13860
1285	24929	13841
1286	24947	13821
1287	24965	13800
1288	24985	13781
1289	25004	13762
1290	25024	13742
1291	25042	13723
1292	25061	13703
1293	25080	13683
1294	25097	13663
1295	25115	13643
1296	25133	13623
1297	25153	13603
1298	25172	13584
1299	25190	13564
1300	25226	13553
1301	25272	13548
1302	25294	13530
1303	25312	13510
1304	25330	13490
1305	25348	13470
1306	25366	13449
1307	25386	13430
1308	25403	13410
1309	25420	13389
1310	25438	13369
1311	25456	13349
1312	25473	13328
1313	25490	13307
1314	25507	13286
1315	25523	13266
1316	25541	13245
1317	25557	13224
1318	25574	13204
1319	25592	13183
1320	25609	13163
1321	25626	13142
1322	25644	13122
1323	25661	13102
1324	25684	13084
1325	25703	13064
1326	25722	13045
1327	25741	13025
1328	25759	13005
1329	25778	12986
1330	25796	12966
1331	25819	12948
1332	25837	12928
1333	25855	12908
1334	25873	12888
1335	25894	12869
1336	25914	12850
1337	25934	12831
1338	25953	12812
1339	25972	12792
1340	25991	12772
1341	26010	12753
1342	26027	12732
1343	26045	12712
1344	26062	12692
1345	26081	12672
1346	26099	12652
1347	26117	12632
1348	26137	12613
1349	26154	12592
1350	26174	12573
1351	26193	12554
1352	26210	12533
1353	26227	12513
1354	26246	12493
1355	26265	12474
1356	26283	12453
1357	26301	12433
1358	26320	12414
1359	26339	12394
1360	26357	12374
1361	26376	12355
1362	26395	12335
1363	26412	12315
1364	26430	12295
1365	26449	12276
1366	26468	12256
1367	26496	12241
1368	26533	12229
1369	26557	12212
1370	26577	12193
1371	26613	12181
1372	26632	12162
1373	26651	12142
1374	26669	12122
1375	26687	12102
1376	26705	12082
1377	26724	12062
1378	26742	12042
1379	26760	12022
1380	26778	12002
1381	26797	11983
1382	26816	11963
1383	26835	11944
1384	26857	11925
1385	26874	11905
1386	26894	11886
1387	26912	11866
1388	26930	11846
1389	26949	11826
1390	26967	11806
1391	26984	11786
1392	27003	11766
1393	27021	11746
1394	27039	11726
1395	27057	11707
1396	27077	11687
1397	27095	11667
1398	27114	11648
1399	27133	11628
1400	27151	11608
1401	27170	11588
1402	27187	11568
1403	27204	11548
1404	27222	11528
1405	27243	11509
1406	27261	11489
1407	27279	11469
1408	27298	11450
1409	27316	11430
1410	27374	11426
1411	27422	11419
1412	27446	11401
1413	27468	11383
1414	27490	11365
1415	27514	11347
1416	27536	11329
1417	27559	11311
1418	27581	11293
1419	27616	11279
1420	27635	11260
1421	27654	11240
1422	27673	11221
1423	27689	11200
1424	27706	11179
1425	27724	11159
1426	27743	11140
1427	27761	11120
1428	27779	11100
1429	27796	11079
1430	27813	11059
1431	27831	11039
1432	27849	11019
1433	27868	10999
1434	27885	10979
1435	27904	10959
1436	27922	10939
1437	27940	10919
1438	27959	10900
1439	27977	10880
1440	27995	10860
1441	28013	10840
1442	28031	10820
1443	28048	10799
1444	28066	10779
1445	28084	10759
1446	28102	10739
1447	28123	10721
1448	28142	10701
1449	28165	10683
1450	28184	10663
1451	28203	10644
1452	28223	10625
1453	28242	10605
1454	28259	10585
1455	28277	10565
1456	28302	10547
1457	28327	10530
1458	28353	10513
1459	28376	10495
1460	28398	10476
1461	28417	10457
1462	28436	10437
1463	28454	10417
1464	28473	10398
1465	28492	10378
1466	28511	10359
1467	28531	10339
1468	28550	10320
1469	28571	10301
1470	28589	10281
1471	28610	10262
1472	28628	10242
1473	28646	10222
1474	28664	10202
1475	28682	10182
1476	28699	10162
1477	28716	10142
1478	28733	10121
1479	28752	10102
1480	28768	10081
1481	28787	10061
1482	28806	10042
1483	28823	10022
1484	28843	10002
1485	28862	9983
1486	28880	9963
1487	28899	9943
1488	28918	9924
1489	28935	9904
1490	28954	9884
1491	28975	9865
1492	28994	9846
1493	29017	9827
1494	29038	9808
1495	29057	9789
1496	29077	9770
1497	29095	9750
1498	29113	9730
1499	29131	9710
1500	29147	9690
1501	29165	9670
1502	29185	9650
1503	29245	9644
1504	29261	9624
1505	29280	9604
1506	29297	9584
1507	29315	9564
1508	29333	9544
1509	29350	9524
1510	29368	9504
1511	29385	9484
1512	29401	9463
1513	29418	9443
1514	29435	9423
1515	29453	9403
1516	29469	9382
1517	29487	9363
1518	29506	9343
1519	29524	9323
1520	29541	9303
1521	29558	9283
1522	29578	9263
1523	29594	9243
1524	29611	9223
1525	29629	9203
1526	29646	9183
1527	29663	9162
1528	29679	9142
1529	29696	9122
1530	29714	9102
1531	29733	9083
1532	29751	9063
1533	29770	9043
1534	29787	9023
1535	29806	9003
1536	29823	8983
1537	29840	8963
1538	29858	8944
1539	29876	8924
1540	29893	8903
1541	29910	8883
1542	29926	8863
1543	29943	8843
1544	29962	8823
1545	29979	8803
1546	29997	8784
1547	30015	8764
1548	30033	8744
1549	30052	8724
1550	30070	8705
1551	30088	8685
1552	30106	8665
1553	30123	8645
1554	30141	8625
1555	30159	8605
1556	30205	8594
1557	30234	8577
1558	30255	8558
1559	30277	8539
1560	30295	8520
1561	30314	8500
1562	30331	8480
1563	30350	8460
1564	30369	8441
1565	30389	8422
1566	30409	8402
1567	30429	8383
1568	30447	8363
1569	30467	8344
1570	30488	8325
1571	30507	8306
1572	30527	8286
1573	30546	8267
1574	30565	8247
